nameofissuer	titleofclass	cusip	value	shrsorprnamt	investmentdiscretion	votingauthority	putcall
NOVO-NORDISK A S	ADR	670100205	4800	104344 SH	SOLE	104344 0 0	N/A
NOW INC	COM	67011P100	141	12089 SH	SOLE	12089 0 0	N/A
NUANCE COMMUNICATIONS INC	COM	67020Y100	228	17094 SH	SOLE	17094 0 0	N/A
NUCOR CORP	COM	670346105	2261	43612 SH	SOLE	43612 0 0	N/A
NUSHARES ETF TR	ESG INTL DEVEL	67092P805	343	15298 SH	SOLE	15298 0 0	N/A
NUSHARES ETF TR	ESG LARGE CAP	67092P201	603	20048 SH	SOLE	20048 0 0	N/A
NUSHARES ETF TR	ESG LRG VALUE	67092P300	643	24560 SH	SOLE	24560 0 0	N/A
NUSHARES ETF TR	ESG SMALL CAP	67092P607	212	8544 SH	SOLE	8544 0 0	N/A
NUTANIX INC	CL A	67059N108	226	5492 SH	SOLE	5492 0 0	N/A
NUTANIX INC	CL A	67059N108	0	400 SH	SOLE	400 0 0	Call
NUTRIEN LTD	COM	67077M108	1463	31118 SH	SOLE	31118 0 0	N/A
NUVASIVE INC	COM	670704105	1466	29547 SH	SOLE	29547 0 0	N/A
NUVEEN AMT FREE MUN CR INC F	COM	67071L106	6399	458076 SH	SOLE	458076 0 0	N/A
NUVEEN AMT FREE QLTY MUN INC	COM	670657105	6161	500130 SH	SOLE	500130 0 0	N/A
NUVEEN CA QUALTY MUN INCOME	COM	67066Y105	423	33190 SH	SOLE	33190 0 0	N/A
NUVEEN CONNECTICUT QLTY MUN	COM	67060D107	1959	173932 SH	SOLE	173932 0 0	N/A
NUVEEN CR STRATEGIES INCM FD	COM SHS	67073D102	115	15295 SH	SOLE	15295 0 0	N/A
NUVEEN ENERGY MLP TOTL RTRNF	COM	67074U103	468	58222 SH	SOLE	58222 0 0	N/A
NUVEEN INT DUR QUAL MUN TRM	COM	670677103	6864	555012 SH	SOLE	555012 0 0	N/A
NUVEEN INTER DURATION MN TMF	COM	670671106	5896	476116 SH	SOLE	476116 0 0	N/A
NUVEEN MARYLAND QLT MUN INC	COM	67061Q107	1836	156799 SH	SOLE	156799 0 0	N/A
NUVEEN MICHIGAN QLT MUN INC	COM	670979103	2196	176336 SH	SOLE	176336 0 0	N/A
NUVEEN MUN VALUE FD INC	COM	670928100	1515	163203 SH	SOLE	163203 0 0	N/A
NUVEEN MUNICIPAL CREDIT INC	COM SH BEN INT	67070X101	1215	90163 SH	SOLE	90163 0 0	N/A
NUVEEN NASDAQ 100 DYNAMIC OV	COM SHS	670699107	275	13802 SH	SOLE	13802 0 0	N/A
NUVEEN NEW YORK AMT QLT MUNI	COM	670656107	5690	488018 SH	SOLE	488018 0 0	N/A
NUVEEN NEW YORK QLT MUN INC	COM	67066X107	2509	204438 SH	SOLE	204438 0 0	N/A
NUVEEN NORTH CAROLINA QLTY M	COM	67060P100	1404	118605 SH	SOLE	118605 0 0	N/A
NUVEEN PFD & INCM OPPORTNYS	COM	67073B106	284	33947 SH	SOLE	33947 0 0	N/A
NUVEEN PFD & INCM SECURTIES	COM	67072C105	234	28141 SH	SOLE	28141 0 0	N/A
NUVEEN QUALITY MUNCP INCOME	COM	67066V101	5912	470869 SH	SOLE	470869 0 0	N/A
NUVEEN S&P 500 BUY-WRITE INC	COM	6706ER101	188	15731 SH	SOLE	15731 0 0	N/A
NUVEEN VIRGINIA QLTY MUNCPL	COM	67064R102	292	24955 SH	SOLE	24955 0 0	N/A
NVIDIA CORP	COM	67066G104	12147	91104 SH	SOLE	91104 0 0	N/A
NVR INC	COM	62944T105	2065	847 SH	SOLE	847 0 0	N/A
NXP SEMICONDUCTORS N V	COM	N6596X109	586	8031 SH	SOLE	8031 0 0	N/A
NXP SEMICONDUCTORS N V	COM	N6596X109	7	5000 SH	SOLE	5000 0 0	Call
O REILLY AUTOMOTIVE INC NEW	COM	67103H107	7689	22343 SH	SOLE	22343 0 0	N/A
OAKTREE CAP GROUP LLC	UNIT CL A	674001201	1262	31688 SH	SOLE	31688 0 0	N/A
OAKTREE SPECIALTY LENDING CO	COM	67401P108	218	51440 SH	SOLE	51440 0 0	N/A
OAKTREE STRATEGIC INCOME COR	COM	67402D104	225	29145 SH	SOLE	29145 0 0	N/A
OBALON THERAPEUTICS INC	COM	67424L100	236	113788 SH	SOLE	113788 0 0	N/A
OCCIDENTAL PETE CORP DEL	COM	674599105	5435	88649 SH	SOLE	88649 0 0	N/A
OGE ENERGY CORP	COM	670837103	741	18894 SH	SOLE	18894 0 0	N/A
OKTA INC	CL A	679295105	2335	36586 SH	SOLE	36586 0 0	N/A
OLD DOMINION FGHT LINES INC	COM	679580100	603	4868 SH	SOLE	4868 0 0	N/A
OMEGA HEALTHCARE INVS INC	COM	681936100	333	9475 SH	SOLE	9475 0 0	N/A
OMEROS CORP	COM	682143102	183	16414 SH	SOLE	16414 0 0	N/A
OMEROS CORP	COM	682143102	2	200 SH	SOLE	200 0 0	Call
OMNICOM GROUP INC	COM	681919106	8808	120302 SH	SOLE	120302 0 0	N/A
OMNICOM GROUP INC	COM	681919106	63	30000 SH	SOLE	30000 0 0	Put
ON SEMICONDUCTOR CORP	COM	682189105	273	16399 SH	SOLE	16399 0 0	N/A
ONE GAS INC	COM	68235P108	1331	16666 SH	SOLE	16666 0 0	N/A
ONE LIBERTY PPTYS INC	COM	682406103	228	9435 SH	SOLE	9435 0 0	N/A
ONEOK INC NEW	COM	682680103	7236	134056 SH	SOLE	134056 0 0	N/A
OPKO HEALTH INC	COM	68375N103	834	278744 SH	SOLE	278744 0 0	N/A
OPKO HEALTH INC	COM	68375N103	0	1000 SH	SOLE	1000 0 0	Call
OPPENHEIMER ETF TR	S&P 500 REVENUE	68386C104	638	13659 SH	SOLE	13659 0 0	N/A
OPPENHEIMER ETF TR	S&P MDCP 400 REV	68386C203	922	17908 SH	SOLE	17908 0 0	N/A
OPPENHEIMER ETF TR	S&P ULTRA DIVIDE	68386C401	1172	35064 SH	SOLE	35064 0 0	N/A
ORACLE CORP	COM	68389X105	26879	593865 SH	SOLE	593865 0 0	N/A
ORASURE TECHNOLOGIES INC	COM	68554V108	614	51978 SH	SOLE	51978 0 0	N/A
ORGANOVO HLDGS INC	COM	68620A104	31	32866 SH	SOLE	32866 0 0	N/A
ORTHOFIX MED INC	COM	68752M108	1357	25850 SH	SOLE	25850 0 0	N/A
OSHKOSH CORP	COM	688239201	325	5338 SH	SOLE	5338 0 0	N/A
OUTFRONT MEDIA INC	COM	69007J106	15302	844846 SH	SOLE	844846 0 0	N/A
OVERSTOCK COM INC DEL	COM	690370101	30	2225 SH	SOLE	2225 0 0	N/A
OVERSTOCK COM INC DEL	COM	690370101	127	20500 SH	SOLE	20500 0 0	Call
PACCAR INC	COM	693718108	4078	71415 SH	SOLE	71415 0 0	N/A
PACER FDS TR	GLOBL CASH ETF	69374H709	622	22232 SH	SOLE	22232 0 0	N/A
PACER FDS TR	TRENDP US LAR CP	69374H105	292	10161 SH	SOLE	10161 0 0	N/A
PACIFIC ETHANOL INC	COM PAR $.001	69423U305	3498	4073641 SH	SOLE	4073641 0 0	N/A
PACIRA PHARMACEUTICALS INC	COM	695127100	237	5535 SH	SOLE	5535 0 0	N/A
PACKAGING CORP AMER	COM	695156109	3447	41212 SH	SOLE	41212 0 0	N/A
PACWEST BANCORP DEL	COM	695263103	254	7634 SH	SOLE	7634 0 0	N/A
PALO ALTO NETWORKS INC	COM	697435105	7445	39432 SH	SOLE	39432 0 0	N/A
PAN AMERICAN SILVER CORP	COM	697900108	243	16569 SH	SOLE	16569 0 0	N/A
PAR TECHNOLOGY CORP	COM	698884103	296	13738 SH	SOLE	13738 0 0	N/A
PARK HOTELS RESORTS INC	COM	700517105	1522	58642 SH	SOLE	58642 0 0	N/A
PARKER HANNIFIN CORP	COM	701094104	1848	12356 SH	SOLE	12356 0 0	N/A
PAYCHEX INC	COM	704326107	4659	71483 SH	SOLE	71483 0 0	N/A
PAYCOM SOFTWARE INC	COM	70432V102	927	7596 SH	SOLE	7596 0 0	N/A
PAYPAL HLDGS INC	COM	70450Y103	15233	181467 SH	SOLE	181467 0 0	N/A
PAYPAL HLDGS INC	COM	70450Y103	14	3000 SH	SOLE	3000 0 0	Call
PBF ENERGY INC	CL A	69318G106	1564	47814 SH	SOLE	47814 0 0	N/A
PDC ENERGY INC	NOTE 1.125% 9/1	69327RAD3	12	14000 PRN	SOLE	14000 0 0	N/A
PEMBINA PIPELINE CORP	COM	706327103	1617	54316 SH	SOLE	54316 0 0	N/A
PENNANTPARK FLOATING RATE CA	COM	70806A106	1420	122732 SH	SOLE	122732 0 0	N/A
PENNANTPARK INVT CORP	COM	708062104	799	125509 SH	SOLE	125509 0 0	N/A
PENTAIR PLC	SHS	G7S00T104	273	7226 SH	SOLE	7226 0 0	N/A
PEOPLES BANCORP INC	COM	709789101	386	12880 SH	SOLE	12880 0 0	N/A
PEOPLES UNITED FINANCIAL INC	COM	712704105	1573	109052 SH	SOLE	109052 0 0	N/A
PEOPLES UTAH BANCORP	COM	712706209	12109	401611 SH	SOLE	401611 0 0	N/A
PEPSICO INC	COM	713448108	87048	787781 SH	SOLE	787781 0 0	N/A
PEPSICO INC	COM	713448108	77	49800 SH	SOLE	49800 0 0	Put
PERKINELMER INC	COM	714046109	246	3131 SH	SOLE	3131 0 0	N/A
PETROLEO BRASILEIRO SA PETRO	SPONSORED ADR	71654V408	281	21256 SH	SOLE	21256 0 0	N/A
PFIZER INC	COM	717081103	80025	1834022 SH	SOLE	1834022 0 0	N/A
PG&E CORP	COM	69331C108	275	11434 SH	SOLE	11434 0 0	N/A
PHILIP MORRIS INTL INC	COM	718172109	36219	542476 SH	SOLE	542476 0 0	N/A
PHILLIPS 66	COM	718546104	8866	102961 SH	SOLE	102961 0 0	N/A
PHILLIPS 66 PARTNERS LP	COM UNIT REP INT	718549207	3831	90966 SH	SOLE	90966 0 0	N/A
PHYSICIANS RLTY TR	COM	71943U104	588	36737 SH	SOLE	36737 0 0	N/A
PICO HLDGS INC	COM NEW	693366205	100	10850 SH	SOLE	10850 0 0	N/A
PIMCO CA MUNICIPAL INCOME FD	COM	72200N106	176	10940 SH	SOLE	10940 0 0	N/A
PIMCO CALIF MUN INCOME FD II	COM	72200M108	112	14119 SH	SOLE	14119 0 0	N/A
PIMCO DYNAMIC INCOME FD	SHS	72201Y101	1474	50473 SH	SOLE	50473 0 0	N/A
PIMCO DYNMIC CREDIT AND MRT	COM SHS	72202D106	1345	63867 SH	SOLE	63867 0 0	N/A
PIMCO ETF TR	1-5 US TIP IDX	72201R205	13115	257638 SH	SOLE	257638 0 0	N/A
PIMCO ETF TR	ACTIVE BD ETF	72201R775	340	3319 SH	SOLE	3319 0 0	N/A
PIMCO ETF TR	ENHAN SHRT MA AC	72201R833	16108	159560 SH	SOLE	159560 0 0	N/A
PIMCO ETF TR	INTER MUN BD ACT	72201R866	8131	153884 SH	SOLE	153884 0 0	N/A
PIMCO ETF TR	INV GRD CRP BD	72201R817	1109	11151 SH	SOLE	11151 0 0	N/A
PIMCO ETF TR	SHTRM MUN BD ACT	72201R874	203	4083 SH	SOLE	4083 0 0	N/A
PIMCO MUN INCOME FD II	COM	72200W106	141	10677 SH	SOLE	10677 0 0	N/A
PIMCO MUN INCOME FD III	COM	72201A103	336	30225 SH	SOLE	30225 0 0	N/A
PINNACLE WEST CAP CORP	COM	723484101	566	6621 SH	SOLE	6621 0 0	N/A
PIONEER NAT RES CO	COM	723787107	7165	54390 SH	SOLE	54390 0 0	N/A
PIONEER NAT RES CO	COM	723787107	7	1100 SH	SOLE	1100 0 0	Put
PLAINS ALL AMERN PIPELINE L	UNIT LTD PARTN	726503105	8791	438669 SH	SOLE	438669 0 0	N/A
PLAINS GP HLDGS L P	LTD PARTNR INT A	72651A207	3788	188484 SH	SOLE	188484 0 0	N/A
PLANET FITNESS INC	CL A	72703H101	92	1709 SH	SOLE	1709 0 0	N/A
PLANET FITNESS INC	CL A	72703H101	86	35000 SH	SOLE	35000 0 0	Call
PLATFORM SPECIALTY PRODS COR	COM	72766Q105	135	13005 SH	SOLE	13005 0 0	N/A
PLURALSIGHT INC	COM CL A	72941B106	325	13820 SH	SOLE	13820 0 0	N/A
PLURISTEM THERAPEUTICS INC	COM	72940R102	58	73200 SH	SOLE	73200 0 0	N/A
PNC FINL SVCS GROUP INC	COM	693475105	60552	517895 SH	SOLE	517895 0 0	N/A
PNM RES INC	COM	69349H107	264	6477 SH	SOLE	6477 0 0	N/A
POLARIS INDS INC	COM	731068102	408	5292 SH	SOLE	5292 0 0	N/A
POOL CORPORATION	COM	73278L105	697	4708 SH	SOLE	4708 0 0	N/A
POPULAR INC	COM NEW	733174700	200	4250 SH	SOLE	4250 0 0	N/A
PORTLAND GEN ELEC CO	COM NEW	736508847	969	21182 SH	SOLE	21182 0 0	N/A
PORTOLA PHARMACEUTICALS INC	COM	737010108	330	16855 SH	SOLE	16855 0 0	N/A
PORTOLA PHARMACEUTICALS INC	COM	737010108	0	200 SH	SOLE	200 0 0	Call
PPG INDS INC	COM	693506107	2828	27698 SH	SOLE	27698 0 0	N/A
PPG INDS INC	COM	693506107	4	1500 SH	SOLE	1500 0 0	Call
PPL CORP	COM	69351T106	3816	134747 SH	SOLE	134747 0 0	N/A
PRECISION DRILLING CORP	COM 2010	74022D308	51	29294 SH	SOLE	29294 0 0	N/A
PREMIER INC	CL A	74051N102	1352	36101 SH	SOLE	36101 0 0	N/A
PRETIUM RES INC	COM	74139C102	214	25377 SH	SOLE	25377 0 0	N/A
PRICE T ROWE GROUP INC	COM	74144T108	6305	68368 SH	SOLE	68368 0 0	N/A
PRIMO WTR CORP	COM	74165N105	210	15000 SH	SOLE	15000 0 0	N/A
PRINCIPAL FINL GROUP INC	COM	74251V102	499	11196 SH	SOLE	11196 0 0	N/A
PROCTER AND GAMBLE CO	COM	742718109	115557	1257030 SH	SOLE	1257030 0 0	N/A
PROGRESSIVE CORP OHIO	COM	743315103	561	9303 SH	SOLE	9303 0 0	N/A
PROLOGIS INC	COM	74340W103	5119	87079 SH	SOLE	87079 0 0	N/A
PROS HOLDINGS INC	COM	74346Y103	211	6666 SH	SOLE	6666 0 0	N/A
PROSHARES TR	PSHS SHORT DOW30	74347B235	2295	37402 SH	SOLE	37402 0 0	N/A
PROSHARES TR	PSHS ULT S&P 500	74347R107	4560	49130 SH	SOLE	49130 0 0	N/A
PROSHARES TR	PSHS ULTRA QQQ	74347R206	736	10960 SH	SOLE	10960 0 0	N/A
PROSHARES TR	PSHS ULTSH 20YRS	74347B201	379	10758 SH	SOLE	10758 0 0	N/A
PROSHARES TR	RUSS 2000 DIVD	74347B698	3300	61321 SH	SOLE	61321 0 0	N/A
PROSHARES TR	S&P 500 DV ARIST	74348A467	19532	322532 SH	SOLE	322532 0 0	N/A
PROSHARES TR	S&P MDCP 400 DIV	74347B680	6581	127199 SH	SOLE	127199 0 0	N/A
PROSHARES TR	SHORT S&P 500 NE	74347B425	3828	122085 SH	SOLE	122085 0 0	N/A
PROSHARES TR	SHRT HGH YIELD	74347R131	253	10685 SH	SOLE	10685 0 0	N/A
PROSHARES TR	SHRT RUSSELL2000	74348A210	732	15625 SH	SOLE	15625 0 0	N/A
PROSHARES TR	ULTPRO SHT 2017	74348A152	254	6477 SH	SOLE	6477 0 0	N/A
PROSHARES TR	ULTRAPRO QQQ	74347X831	522	14075 SH	SOLE	14075 0 0	N/A
PROSHARES TR	ULTRAPRO SHORT Q	74348A160	4	15000 SH	SOLE	15000 0 0	Call
PROSHARES TR	ULTRAPRO SHORT Q	74348A160	49	2957 SH	SOLE	2957 0 0	N/A
PROSHARES TR	ULTRAPRO SHORT S	74347B268	504	10885 SH	SOLE	10885 0 0	N/A
PROSHARES TR	ULTRASHRT S&P500	74347B383	266	6168 SH	SOLE	6168 0 0	N/A
PROSHARES TR	ULTRPRO DOW30	74347X823	414	5800 SH	SOLE	5800 0 0	N/A
PROSHARES TR	ULTRPRO S&P500	74347X864	219	6278 SH	SOLE	6278 0 0	N/A
PROSHARES TR	ULTSHT FINLS NEW	74347B748	296	12044 SH	SOLE	12044 0 0	N/A
PROSHARES TR II	ULTA BLMBG 2017	74347W247	137	10310 SH	SOLE	10310 0 0	N/A
PROSPECT CAPITAL CORPORATION	COM	74348T102	81	13040 SH	SOLE	13040 0 0	N/A
PROSPECT CAPITAL CORPORATION	NOTE 5.875% 1/1	74348TAM4	2459	2458000 PRN	SOLE	2458000 0 0	N/A
PROSPERITY BANCSHARES INC	COM	743606105	513	8221 SH	SOLE	8221 0 0	N/A
PROTO LABS INC	COM	743713109	784	6975 SH	SOLE	6975 0 0	N/A
PRUDENTIAL FINL INC	COM	744320102	3941	48261 SH	SOLE	48261 0 0	N/A
PRUDENTIAL PLC	ADR	74435K204	516	14459 SH	SOLE	14459 0 0	N/A
PUBLIC STORAGE	COM	74460D109	1277	6324 SH	SOLE	6324 0 0	N/A
PUBLIC SVC ENTERPRISE GROUP	COM	744573106	4290	82574 SH	SOLE	82574 0 0	N/A
PULTE GROUP INC	COM	745867101	733	28174 SH	SOLE	28174 0 0	N/A
PUTNAM PREMIER INCOME TR	SH BEN INT	746853100	295	62781 SH	SOLE	62781 0 0	N/A
PVH CORP	COM	693656100	1469	15775 SH	SOLE	15775 0 0	N/A
QEP RES INC	COM	74733V100	623	110968 SH	SOLE	110968 0 0	N/A
QIAGEN NV	SHS NEW	N72482123	298	8672 SH	SOLE	8672 0 0	N/A
QORVO INC	COM	74736K101	3057	50308 SH	SOLE	50308 0 0	N/A
QUAKER CHEM CORP	COM	747316107	1241	6982 SH	SOLE	6982 0 0	N/A
QUALCOMM INC	COM	747525103	25604	449161 SH	SOLE	449161 0 0	N/A
QUALYS INC	COM	74758T303	329	4432 SH	SOLE	4432 0 0	N/A
QUANTA SVCS INC	COM	74762E102	357	11777 SH	SOLE	11777 0 0	N/A
QUANTERIX CORP	COM	74766Q101	198	10850 SH	SOLE	10850 0 0	N/A
QUEST DIAGNOSTICS INC	COM	74834L100	2053	24744 SH	SOLE	24744 0 0	N/A
QURATE RETAIL INC	COM SER A	74915M100	1044	53388 SH	SOLE	53388 0 0	N/A
RADWARE LTD	ORD	M81873107	8400	369830 SH	SOLE	369830 0 0	N/A
RANGE RES CORP	COM	75281A109	987	103170 SH	SOLE	103170 0 0	N/A
RAYMOND JAMES FINANCIAL INC	COM	754730109	899	12078 SH	SOLE	12078 0 0	N/A
RAYONIER INC	COM	754907103	676	24336 SH	SOLE	24336 0 0	N/A
RAYTHEON CO	COM NEW	755111507	18077	117735 SH	SOLE	117735 0 0	N/A
RAYTHEON CO	COM NEW	755111507	4	1000 SH	SOLE	1000 0 0	Put
RBC BEARINGS INC	COM	75524B104	480	3644 SH	SOLE	3644 0 0	N/A
REALITY SHS ETF TR	DIVCN LDRS ETF	75605A405	1159	39427 SH	SOLE	39427 0 0	N/A
REALTY INCOME CORP	COM	756109104	3356	53267 SH	SOLE	53267 0 0	N/A
RED HAT INC	COM	756577102	688	3914 SH	SOLE	3914 0 0	N/A
REGENCY CTRS CORP	COM	758849103	723	12337 SH	SOLE	12337 0 0	N/A
REGENERON PHARMACEUTICALS	COM	75886F107	4939	13281 SH	SOLE	13281 0 0	N/A
REGIONS FINL CORP NEW	COM	7591EP100	1917	143168 SH	SOLE	143168 0 0	N/A
REINSURANCE GROUP AMER INC	COM NEW	759351604	589	4219 SH	SOLE	4219 0 0	N/A
RELIANCE STEEL & ALUMINUM CO	COM	759509102	3545	49565 SH	SOLE	49565 0 0	N/A
RELX PLC	SPONSORED ADR	759530108	715	34926 SH	SOLE	34926 0 0	N/A
RENAISSANCERE HOLDINGS LTD	COM	G7496G103	207	1540 SH	SOLE	1540 0 0	N/A
RENASANT CORP	COM	75970E107	298	9999 SH	SOLE	9999 0 0	N/A
REPLIGEN CORP	COM	759916109	962	18256 SH	SOLE	18256 0 0	N/A
REPUBLIC SVCS INC	COM	760759100	1945	26916 SH	SOLE	26916 0 0	N/A
RESIDEO TECHNOLOGIES INC	COM	76118Y104	358	18910 SH	SOLE	18910 0 0	N/A
RESMED INC	COM	761152107	7332	64365 SH	SOLE	64365 0 0	N/A
RESTAURANT BRANDS INTL INC	COM	76131D103	558	10596 SH	SOLE	10596 0 0	N/A
RETAIL PPTYS AMER INC	CL A	76131V202	136	12618 SH	SOLE	12618 0 0	N/A
REVANCE THERAPEUTICS INC	COM	761330109	403	20000 SH	SOLE	20000 0 0	N/A
RIGEL PHARMACEUTICALS INC	COM NEW	766559603	2	2000 SH	SOLE	2000 0 0	Call
RIGEL PHARMACEUTICALS INC	COM NEW	766559603	25	10865 SH	SOLE	10865 0 0	N/A
RIO TINTO PLC	SPONSORED ADR	767204100	4843	100225 SH	SOLE	100225 0 0	N/A
RITCHIE BROS AUCTIONEERS	COM	767744105	306	9534 SH	SOLE	9534 0 0	N/A
RITE AID CORP	COM	767754104	139	194964 SH	SOLE	194964 0 0	N/A
ROBERT HALF INTL INC	COM	770323103	386	6752 SH	SOLE	6752 0 0	N/A
ROCKWELL AUTOMATION INC	COM	773903109	3155	20948 SH	SOLE	20948 0 0	N/A
ROGERS COMMUNICATIONS INC	CL B	775109200	301	5915 SH	SOLE	5915 0 0	N/A
ROGERS CORP	COM	775133101	845	8534 SH	SOLE	8534 0 0	N/A
ROLLINS INC	COM	775711104	799	22117 SH	SOLE	22117 0 0	N/A
ROPER TECHNOLOGIES INC	COM	776696106	6548	24574 SH	SOLE	24574 0 0	N/A
ROSS STORES INC	COM	778296103	2210	26827 SH	SOLE	26827 0 0	N/A
ROYAL BK CDA MONTREAL QUE	COM	780087102	1626	24026 SH	SOLE	24026 0 0	N/A
ROYAL BK SCOTLAND GROUP PLC	SPONS ADR 2 ORD	780097689	90	16000 SH	SOLE	16000 0 0	N/A
ROYAL CARIBBEAN CRUISES LTD	COM	V7780T103	480	4896 SH	SOLE	4896 0 0	N/A
ROYAL DUTCH SHELL PLC	SPON ADR B	780259107	7949	132718 SH	SOLE	132718 0 0	N/A
ROYAL DUTCH SHELL PLC	SPONS ADR A	780259206	20196	346426 SH	SOLE	346426 0 0	N/A
ROYCE MICRO-CAP TR INC	COM	780915104	88	11958 SH	SOLE	11958 0 0	N/A
RTI SURGICAL INC	COM	74975N105	48	12929 SH	SOLE	12929 0 0	N/A
RYANAIR HLDGS PLC	SPONSORED ADR NE	783513203	421	5838 SH	SOLE	5838 0 0	N/A
RYDER SYS INC	COM	783549108	726	15877 SH	SOLE	15877 0 0	N/A
S&P GLOBAL INC	COM	78409V104	2834	16667 SH	SOLE	16667 0 0	N/A
SABRA HEALTH CARE REIT INC	COM	78573L106	252	15071 SH	SOLE	15071 0 0	N/A
SABRE CORP	COM	78573M104	5559	256773 SH	SOLE	256773 0 0	N/A
SAILPOINT TECHNLGIES HLDGS I	COM	78781P105	580	24716 SH	SOLE	24716 0 0	N/A
SALESFORCE COM INC	COM	79466L302	15186	110819 SH	SOLE	110819 0 0	N/A
SALESFORCE COM INC	COM	79466L302	14	1500 SH	SOLE	1500 0 0	Call
SALIENT MIDSTREAM & MLP FD	SH BEN INT	79471V105	383	51773 SH	SOLE	51773 0 0	N/A
SANDSTORM GOLD LTD	COM NEW	80013R206	94	20493 SH	SOLE	20493 0 0	N/A
SANDY SPRING BANCORP INC	COM	800363103	551	17585 SH	SOLE	17585 0 0	N/A
SANGAMO THERAPEUTICS INC	COM	800677106	13	2000 SH	SOLE	2000 0 0	Call
SANGAMO THERAPEUTICS INC	COM	800677106	792	69516 SH	SOLE	69516 0 0	N/A
SANOFI	SPONSORED ADR	80105N105	7293	168223 SH	SOLE	168223 0 0	N/A
SANTANDER CONSUMER USA HDG I	COM	80283M101	1994	113194 SH	SOLE	113194 0 0	N/A
SAP SE	SPON ADR	803054204	6641	67118 SH	SOLE	67118 0 0	N/A
SAREPTA THERAPEUTICS INC	COM	803607100	4833	44314 SH	SOLE	44314 0 0	N/A
SBA COMMUNICATIONS CORP NEW	CL A	78410G104	921	5807 SH	SOLE	5807 0 0	N/A
SCANA CORP NEW	COM	80589M102	639	13358 SH	SOLE	13358 0 0	N/A
SCHEIN HENRY INC	COM	806407102	6739	85349 SH	SOLE	85349 0 0	N/A
SCHLUMBERGER LTD	COM	806857108	12061	333677 SH	SOLE	333677 0 0	N/A
SCHNEIDER NATIONAL INC	CL B	80689H102	1404	75475 SH	SOLE	75475 0 0	N/A
SCHWAB CHARLES CORP NEW	COM	808513105	8833	213059 SH	SOLE	213059 0 0	N/A
SCHWAB STRATEGIC TR	EMRG MKTEQ ETF	808524706	7887	336106 SH	SOLE	336106 0 0	N/A
SCHWAB STRATEGIC TR	INTL EQTY ETF	808524805	37202	1313298 SH	SOLE	1313298 0 0	N/A
SCHWAB STRATEGIC TR	INTL SCEQT ETF	808524888	767	26756 SH	SOLE	26756 0 0	N/A
SCHWAB STRATEGIC TR	INTRM TRM TRES	808524854	252	4749 SH	SOLE	4749 0 0	N/A
SCHWAB STRATEGIC TR	SCHWAB FDT US BM	808524789	7770	231934 SH	SOLE	231934 0 0	N/A
SCHWAB STRATEGIC TR	SCHWB FDT INT LG	808524755	7471	296209 SH	SOLE	296209 0 0	N/A
SCHWAB STRATEGIC TR	SHT TM US TRES	808524862	7932	159116 SH	SOLE	159116 0 0	N/A
SCHWAB STRATEGIC TR	US AGGREGATE B	808524839	15950	315050 SH	SOLE	315050 0 0	N/A
SCHWAB STRATEGIC TR	US BRD MKT ETF	808524102	16078	268757 SH	SOLE	268757 0 0	N/A
SCHWAB STRATEGIC TR	US DIVIDEND EQ	808524797	6068	129407 SH	SOLE	129407 0 0	N/A
SCHWAB STRATEGIC TR	US LCAP GR ETF	808524300	8498	123526 SH	SOLE	123526 0 0	N/A
SCHWAB STRATEGIC TR	US LCAP VA ETF	808524409	6055	122840 SH	SOLE	122840 0 0	N/A
SCHWAB STRATEGIC TR	US LRG CAP ETF	808524201	31358	525144 SH	SOLE	525144 0 0	N/A
SCHWAB STRATEGIC TR	US MID-CAP ETF	808524508	20114	420104 SH	SOLE	420104 0 0	N/A
SCHWAB STRATEGIC TR	US REIT ETF	808524847	2251	58490 SH	SOLE	58490 0 0	N/A
SCHWAB STRATEGIC TR	US SML CAP ETF	808524607	17361	286086 SH	SOLE	286086 0 0	N/A
SCHWAB STRATEGIC TR	US TIPS ETF	808524870	5862	110621 SH	SOLE	110621 0 0	N/A
SCIENCE APPLICATNS INTL CP N	COM	808625107	1990	31242 SH	SOLE	31242 0 0	N/A
SCOTTS MIRACLE GRO CO	CL A	810186106	477	7733 SH	SOLE	7733 0 0	N/A
SEACOR HOLDINGS INC	COM	811904101	632	17076 SH	SOLE	17076 0 0	N/A
SEACOR MARINE HLDGS INC	COM	78413P101	366	31080 SH	SOLE	31080 0 0	N/A
SEAGATE TECHNOLOGY PLC	SHS	G7945M107	3995	103387 SH	SOLE	103387 0 0	N/A
SEALED AIR CORP NEW	COM	81211K100	367	10527 SH	SOLE	10527 0 0	N/A
SECOND SIGHT MED PRODS INC	COM	81362J100	26	29200 SH	SOLE	29200 0 0	N/A
SEI INVESTMENTS CO	COM	784117103	444	9611 SH	SOLE	9611 0 0	N/A
SELECT ENERGY SVCS INC	CL A COM	81617J301	6100	965118 SH	SOLE	965118 0 0	N/A
SELECT SECTOR SPDR TR	COMMUNICATION	81369Y852	1721	41838 SH	SOLE	41838 0 0	N/A
SELECT SECTOR SPDR TR	ENERGY	81369Y506	10967	191125 SH	SOLE	191125 0 0	N/A
SELECT SECTOR SPDR TR	RL EST SEL SEC	81369Y860	4085	131704 SH	SOLE	131704 0 0	N/A
SELECT SECTOR SPDR TR	SBI CONS DISCR	81369Y407	6386	64438 SH	SOLE	64438 0 0	N/A
